Calculation result

      time (s)         Distance (m)
    6181.02          187204540.38
    6181.25          187218472.66
    6181.48          187232405.45
    6181.71          187246338.77
    6181.94          187260272.60
    6182.17          187274206.95
    6182.40          187288141.82
    6182.63          187302077.21
    6182.86          187316013.12
    6183.09          187329949.55
    6183.32          187343886.49
    6183.55          187357823.95
    6183.78          187371761.93
    6184.01          187385700.43
    6184.24          187399639.45
    6184.47          187413578.99
    6184.70          187427519.04
    6184.93          187441459.61
    6185.16          187455400.71
    6185.39          187469342.32
    6185.62          187483284.44
    6185.85          187497227.09
    6186.08          187511170.26
    6186.31          187525113.94
    6186.54          187539058.14
    6186.77          187553002.86
    6187.00          187566948.10
    6187.23          187580893.86
    6187.46          187594840.13
    6187.69          187608786.93
    6187.92          187622734.24
    6188.15          187636682.07
    6188.38          187650630.42
    6188.61          187664579.29
    6188.84          187678528.67
    6189.07          187692478.58
    6189.30          187706429.00
    6189.53          187720379.94
    6189.76          187734331.40
    6189.99          187748283.38
    6190.22          187762235.88
    6190.45          187776188.89
    6190.68          187790142.43
    6190.91          187804096.48
    6191.14          187818051.05
    6191.37          187832006.14
    6191.60          187845961.74
    6191.83          187859917.87
    6192.06          187873874.51
    6192.29          187887831.68
    6192.52          187901789.36
    6192.75          187915747.56
    6192.98          187929706.27
    6193.21          187943665.51
    6193.44          187957625.26
    6193.67          187971585.54
    6193.90          187985546.33
    6194.13          187999507.64
    6194.36          188013469.47
    6194.59          188027431.81
    6194.82          188041394.68
    6195.05          188055358.06
    6195.28          188069321.96
    6195.51          188083286.38
    6195.74          188097251.32
    6195.97          188111216.78
    6196.20          188125182.76
    6196.43          188139149.25
    6196.66          188153116.26
    6196.89          188167083.79
    6197.12          188181051.84
    6197.35          188195020.41
    6197.58          188208989.50
    6197.81          188222959.10
    6198.04          188236929.22
    6198.27          188250899.86
    6198.50          188264871.02
    6198.73          188278842.70
    6198.96          188292814.90
    6199.19          188306787.61
    6199.42          188320760.85
    6199.65          188334734.60
    6199.88          188348708.87
    6200.11          188362683.66
    6200.34          188376658.97
    6200.57          188390634.79
    6200.80          188404611.14
    6201.03          188418588.00
    6201.26          188432565.38
    6201.49          188446543.28
    6201.72          188460521.70
    6201.95          188474500.63
    6202.18          188488480.09
    6202.41          188502460.06
    6202.64          188516440.55
    6202.87          188530421.56
    6203.10          188544403.09
    6203.33          188558385.14
    6203.56          188572367.70
    6203.79          188586350.78
    6204.02          188600334.39
    6204.25          188614318.51
    6204.48          188628303.14
    6204.71          188642288.30
    6204.94          188656273.98
    6205.17          188670260.17
    6205.40          188684246.88
    6205.63          188698234.11
    6205.86          188712221.86
    6206.09          188726210.13
    6206.32          188740198.92
    6206.55          188754188.22
    6206.78          188768178.04
    6207.01          188782168.39
    6207.24          188796159.25
    6207.47          188810150.62
    6207.70          188824142.52
    6207.93          188838134.94
    6208.16          188852127.87
    6208.39          188866121.32
    6208.62          188880115.29
    6208.85          188894109.78
    6209.08          188908104.79
    6209.31          188922100.31
    6209.54          188936096.36
    6209.77          188950092.92
    6210.00          188964090.00
    6210.23          188978087.60
    6210.46          188992085.72
    6210.69          189006084.35
    6210.92          189020083.51
    6211.15          189034083.18
    6211.38          189048083.37
    6211.61          189062084.08
    6211.84          189076085.31
    6212.07          189090087.06
    6212.30          189104089.32
    6212.53          189118092.10
    6212.76          189132095.41
    6212.99          189146099.23
    6213.22          189160103.56
    6213.45          189174108.42
    6213.68          189188113.80
    6213.91          189202119.69
    6214.14          189216126.10
    6214.37          189230133.03
    6214.60          189244140.48
    6214.83          189258148.45
    6215.06          189272156.94
    6215.29          189286165.94
    6215.52          189300175.46
    6215.75          189314185.51
    6215.98          189328196.07
    6216.21          189342207.14
    6216.44          189356218.74
    6216.67          189370230.86
    6216.90          189384243.49
    6217.13          189398256.64
    6217.36          189412270.31
    6217.59          189426284.50
    6217.82          189440299.21
    6218.05          189454314.43
    6218.28          189468330.18
    6218.51          189482346.44
    6218.74          189496363.22
    6218.97          189510380.52
    6219.20          189524398.34
    6219.43          189538416.67
    6219.66          189552435.53
    6219.89          189566454.90
    6220.12          189580474.79
    6220.35          189594495.20
    6220.58          189608516.13
    6220.81          189622537.57
    6221.04          189636559.54
    6221.27          189650582.02
    6221.50          189664605.02
    6221.73          189678628.54
    6221.96          189692652.58
    6222.19          189706677.14
    6222.42          189720702.22
    6222.65          189734727.81
    6222.88          189748753.92
    6223.11          189762780.55
    6223.34          189776807.70
    6223.57          189790835.37
    6223.80          189804863.56
    6224.03          189818892.26
    6224.26          189832921.48
    6224.49          189846951.22
    6224.72          189860981.48
    6224.95          189875012.26
    6225.18          189889043.56
    6225.41          189903075.37
    6225.64          189917107.71
    6225.87          189931140.56
    6226.10          189945173.93
    6226.33          189959207.82
    6226.56          189973242.22
    6226.79          189987277.15
    6227.02          190001312.59
    6227.25          190015348.56
    6227.48          190029385.04
    6227.71          190043422.04
    6227.94          190057459.55
    6228.17          190071497.59
    6228.40          190085536.14
    6228.63          190099575.22
    6228.86          190113614.81
    6229.09          190127654.92
    6229.32          190141695.55
    6229.55          190155736.69
    6229.78          190169778.36
    6230.01          190183820.54
    6230.24          190197863.24
    6230.47          190211906.46
    6230.70          190225950.20
    6230.93          190239994.46
    6231.16          190254039.23
    6231.39          190268084.53
    6231.62          190282130.34
    6231.85          190296176.67
    6232.08          190310223.52
    6232.31          190324270.89
    6232.54          190338318.77
    6232.77          190352367.18
    6233.00          190366416.10
    6233.23          190380465.54
    6233.46          190394515.50
    6233.69          190408565.98
    6233.92          190422616.98
    6234.15          190436668.49
    6234.38          190450720.52
    6234.61          190464773.08
    6234.84          190478826.15
    6235.07          190492879.73
    6235.30          190506933.84
    6235.53          190520988.47
    6235.76          190535043.61
    6235.99          190549099.27
    6236.22          190563155.45
    6236.45          190577212.15
    6236.68          190591269.37
    6236.91          190605327.11
    6237.14          190619385.36
    6237.37          190633444.13
    6237.60          190647503.42
    6237.83          190661563.23
    6238.06          190675623.56
    6238.29          190689684.41
    6238.52          190703745.77
    6238.75          190717807.66
    6238.98          190731870.06
    6239.21          190745932.98
    6239.44          190759996.42
    6239.67          190774060.37
    6239.90          190788124.85
    6240.13          190802189.84
    6240.36          190816255.35
    6240.59          190830321.39
    6240.82          190844387.93
    6241.05          190858455.00
    6241.28          190872522.59
    6241.51          190886590.69
    6241.74          190900659.32
    6241.97          190914728.46
    6242.20          190928798.12
    6242.43          190942868.29
    6242.66          190956938.99
    6242.89          190971010.21
    6243.12          190985081.94
    6243.35          190999154.19
    6243.58          191013226.96
    6243.81          191027300.25
    6244.04          191041374.06
    6244.27          191055448.38
    6244.50          191069523.22
    6244.73          191083598.59
    6244.96          191097674.47
    6245.19          191111750.87
    6245.42          191125827.78
    6245.65          191139905.22
    6245.88          191153983.17
    6246.11          191168061.65
    6246.34          191182140.64
    6246.57          191196220.15
    6246.80          191210300.18
    6247.03          191224380.72
    6247.26          191238461.79
    6247.49          191252543.37
    6247.72          191266625.47
    6247.95          191280708.09
    6248.18          191294791.23
    6248.41          191308874.89
    6248.64          191322959.06
    6248.87          191337043.76
    6249.10          191351128.97
    6249.33          191365214.70
    6249.56          191379300.95
    6249.79          191393387.72
    6250.02          191407475.00
    6250.25          191421562.81
    6250.48          191435651.13
    6250.71          191449739.97
    6250.94          191463829.33
    6251.17          191477919.21
    6251.40          191492009.60
    6251.63          191506100.52
    6251.86          191520191.95
    6252.09          191534283.90
    6252.32          191548376.37
    6252.55          191562469.36
    6252.78          191576562.87
    6253.01          191590656.89
    6253.24          191604751.44
    6253.47          191618846.50
    6253.70          191632942.08
    6253.93          191647038.18
    6254.16          191661134.80
    6254.39          191675231.93
    6254.62          191689329.59
    6254.85          191703427.76
    6255.08          191717526.45
    6255.31          191731625.66
    6255.54          191745725.39
    6255.77          191759825.63
    6256.00          191773926.40
    6256.23          191788027.68
    6256.46          191802129.48
    6256.69          191816231.80
    6256.92          191830334.64
    6257.15          191844438.00
    6257.38          191858541.88
    6257.61          191872646.27
    6257.84          191886751.18
    6258.07          191900856.61
    6258.30          191914962.56
    6258.53          191929069.03
    6258.76          191943176.01
    6258.99          191957283.52
    6259.22          191971391.54
    6259.45          191985500.08
    6259.68          191999609.14
    6259.91          192013718.72
    6260.14          192027828.82
    6260.37          192041939.43
    6260.60          192056050.56
    6260.83          192070162.22
    6261.06          192084274.39
    6261.29          192098387.07
    6261.52          192112500.28
    6261.75          192126614.01
    6261.98          192140728.25
    6262.21          192154843.01
    6262.44          192168958.29
    6262.67          192183074.09
    6262.90          192197190.41
    6263.13          192211307.24
    6263.36          192225424.60
    6263.59          192239542.47
    6263.82          192253660.86
    6264.05          192267779.77
    6264.28          192281899.20
    6264.51          192296019.15
    6264.74          192310139.61
    6264.97          192324260.59
    6265.20          192338382.10
    6265.43          192352504.12
    6265.66          192366626.65
    6265.89          192380749.71
    6266.12          192394873.29
    6266.35          192408997.38
    6266.58          192423121.99
    6266.81          192437247.12
    6267.04          192451372.77
    6267.27          192465498.94
    6267.50          192479625.62
    6267.73          192493752.83
    6267.96          192507880.55
    6268.19          192522008.79
    6268.42          192536137.55
    6268.65          192550266.83
    6268.88          192564396.63
    6269.11          192578526.94
    6269.34          192592657.77
    6269.57          192606789.13
    6269.80          192620921.00
    6270.03          192635053.38
    6270.26          192649186.29
    6270.49          192663319.72
    6270.72          192677453.66
    6270.95          192691588.12
    6271.18          192705723.10
    6271.41          192719858.60
    6271.64          192733994.62
    6271.87          192748131.15
    6272.10          192762268.21
    6272.33          192776405.78
    6272.56          192790543.87
    6272.79          192804682.48
    6273.02          192818821.61
    6273.25          192832961.26
    6273.48          192847101.42
    6273.71          192861242.10
    6273.94          192875383.31
    6274.17          192889525.03
    6274.40          192903667.26
    6274.63          192917810.02
    6274.86          192931953.30
    6275.09          192946097.09
    6275.32          192960241.40
    6275.55          192974386.23
    6275.78          192988531.58
    6276.01          193002677.45
    6276.24          193016823.83
    6276.47          193030970.74
    6276.70          193045118.16
    6276.93          193059266.10
    6277.16          193073414.56
    6277.39          193087563.54
    6277.62          193101713.04
    6277.85          193115863.05
    6278.08          193130013.58
    6278.31          193144164.63
    6278.54          193158316.20
    6278.77          193172468.29
    6279.00          193186620.90
    6279.23          193200774.02
    6279.46          193214927.67
    6279.69          193229081.83
    6279.92          193243236.51
    6280.15          193257391.71
    6280.38          193271547.43
    6280.61          193285703.66
    6280.84          193299860.42
    6281.07          193314017.69
    6281.30          193328175.48
    6281.53          193342333.79
    6281.76          193356492.62
    6281.99          193370651.96
    6282.22          193384811.83
    6282.45          193398972.21
    6282.68          193413133.11
    6282.91          193427294.53
    6283.14          193441456.47
    6283.37          193455618.93
    6283.60          193469781.90
    6283.83          193483945.40
    6284.06          193498109.41
    6284.29          193512273.94
    6284.52          193526438.99
    6284.75          193540604.56
    6284.98          193554770.64
    6285.21          193568937.25
    6285.44          193583104.37
    6285.67          193597272.01
    6285.90          193611440.17
    6286.13          193625608.85
    6286.36          193639778.04
    6286.59          193653947.76
    6286.82          193668117.99
    6287.05          193682288.74
    6287.28          193696460.01
    6287.51          193710631.80
    6287.74          193724804.11
    6287.97          193738976.93
    6288.20          193753150.28
    6288.43          193767324.14
    6288.66          193781498.52
    6288.89          193795673.42
    6289.12          193809848.83
    6289.35          193824024.77
    6289.58          193838201.22
    6289.81          193852378.20
    6290.04          193866555.69
    6290.27          193880733.70
    6290.50          193894912.22
    6290.73          193909091.27
    6290.96          193923270.84
    6291.19          193937450.92
    6291.42          193951631.52
    6291.65          193965812.64
    6291.88          193979994.28
    6292.11          193994176.44
    6292.34          194008359.11
    6292.57          194022542.30
    6292.80          194036726.02
    6293.03          194050910.25
    6293.26          194065095.00
    6293.49          194079280.26
    6293.72          194093466.05
    6293.95          194107652.35
    6294.18          194121839.17
    6294.41          194136026.52
    6294.64          194150214.37
    6294.87          194164402.75
    6295.10          194178591.65
    6295.33          194192781.06
    6295.56          194206971.00
    6295.79          194221161.45
    6296.02          194235352.42
    6296.25          194249543.91
    6296.48          194263735.91
    6296.71          194277928.44
    6296.94          194292121.48
    6297.17          194306315.04
    6297.40          194320509.12
    6297.63          194334703.72
    6297.86          194348898.84
    6298.09          194363094.48
    6298.32          194377290.63
    6298.55          194391487.30
    6298.78          194405684.49
    6299.01          194419882.20
    6299.24          194434080.43
    6299.47          194448279.18
    6299.70          194462478.44
    6299.93          194476678.22
    6300.16          194490878.53
    6300.39          194505079.35
    6300.62          194519280.68
    6300.85          194533482.54
    6301.08          194547684.92
    6301.31          194561887.81
    6301.54          194576091.22
    6301.77          194590295.15
    6302.00          194604499.60
    6302.23          194618704.57
    6302.46          194632910.05
    6302.69          194647116.06
    6302.92          194661322.58
    6303.15          194675529.62
    6303.38          194689737.18
    6303.61          194703945.26
    6303.84          194718153.85
    6304.07          194732362.97
    6304.30          194746572.60
    6304.53          194760782.75
    6304.76          194774993.42
    6304.99          194789204.61
    6305.22          194803416.32
    6305.45          194817628.54
    6305.68          194831841.29
    6305.91          194846054.55
    6306.14          194860268.33
    6306.37          194874482.63
    6306.60          194888697.44
    6306.83          194902912.78
    6307.06          194917128.63
    6307.29          194931345.01
    6307.52          194945561.90
    6307.75          194959779.31
    6307.98          194973997.23
    6308.21          194988215.68
    6308.44          195002434.64
    6308.67          195016654.13
    6308.90          195030874.13
    6309.13          195045094.65
    6309.36          195059315.69
    6309.59          195073537.24
    6309.82          195087759.32
    6310.05          195101981.91
    6310.28          195116205.02
    6310.51          195130428.65
    6310.74          195144652.80
    6310.97          195158877.47
    6311.20          195173102.66
    6311.43          195187328.36
    6311.66          195201554.58
    6311.89          195215781.32
    6312.12          195230008.58
    6312.35          195244236.36
    6312.58          195258464.66
    6312.81          195272693.47
    6313.04          195286922.80
    6313.27          195301152.65
    6313.50          195315383.02
    6313.73          195329613.91
    6313.96          195343845.32
    6314.19          195358077.24
    6314.42          195372309.69
    6314.65          195386542.65
    6314.88          195400776.13
    6315.11          195415010.13
    6315.34          195429244.65
    6315.57          195443479.68
    6315.80          195457715.24
    6316.03          195471951.31
    6316.26          195486187.90
    6316.49          195500425.01
    6316.72          195514662.64
    6316.95          195528900.78
    6317.18          195543139.45
    6317.41          195557378.63
    6317.64          195571618.33
    6317.87          195585858.55
    6318.10          195600099.29
    6318.33          195614340.55
    6318.56          195628582.32
    6318.79          195642824.61
    6319.02          195657067.43
    6319.25          195671310.76
    6319.48          195685554.60
    6319.71          195699798.97
    6319.94          195714043.86
    6320.17          195728289.26
    6320.40          195742535.18
    6320.63          195756781.62
    6320.86          195771028.58
    6321.09          195785276.06
    6321.32          195799524.06
    6321.55          195813772.57
    6321.78          195828021.60
    6322.01          195842271.16
    6322.24          195856521.23
    6322.47          195870771.81
    6322.70          195885022.92
    6322.93          195899274.55
    6323.16          195913526.69
    6323.39          195927779.35
    6323.62          195942032.53
    6323.85          195956286.23
    6324.08          195970540.45
    6324.31          195984795.18
    6324.54          195999050.44
    6324.77          196013306.21
    6325.00          196027562.50
    6325.23          196041819.31
    6325.46          196056076.64
    6325.69          196070334.48
    6325.92          196084592.85
    6326.15          196098851.73
    6326.38          196113111.13
    6326.61          196127371.05
    6326.84          196141631.49
    6327.07          196155892.45
    6327.30          196170153.92
    6327.53          196184415.91
    6327.76          196198678.43
    6327.99          196212941.46
    6328.22          196227205.00
    6328.45          196241469.07
    6328.68          196255733.66
    6328.91          196269998.76
    6329.14          196284264.38
    6329.37          196298530.52
    6329.60          196312797.18
    6329.83          196327064.36
    6330.06          196341332.06
    6330.29          196355600.27
    6330.52          196369869.00
    6330.75          196384138.26
    6330.98          196398408.03
    6331.21          196412678.31
    6331.44          196426949.12
    6331.67          196441220.45
    6331.90          196455492.29
    6332.13          196469764.65
    6332.36          196484037.53
    6332.59          196498310.93
    6332.82          196512584.85
    6333.05          196526859.28
    6333.28          196541134.24
    6333.51          196555409.71
    6333.74          196569685.70
    6333.97          196583962.21
    6334.20          196598239.24
    6334.43          196612516.78
    6334.66          196626794.85
    6334.89          196641073.43
    6335.12          196655352.53
    6335.35          196669632.15
    6335.58          196683912.29
    6335.81          196698192.94
    6336.04          196712474.12
    6336.27          196726755.81
    6336.50          196741038.02
    6336.73          196755320.75
    6336.96          196769604.00
    6337.19          196783887.77
    6337.42          196798172.06
    6337.65          196812456.86
    6337.88          196826742.18
    6338.11          196841028.02
    6338.34          196855314.38
    6338.57          196869601.26
    6338.80          196883888.66
    6339.03          196898176.57
    6339.26          196912465.00
    6339.49          196926753.95
    6339.72          196941043.42
    6339.95          196955333.41
    6340.18          196969623.92
    6340.41          196983914.94
    6340.64          196998206.49
    6340.87          197012498.55
    6341.10          197026791.13
    6341.33          197041084.23
    6341.56          197055377.84
    6341.79          197069671.98
    6342.02          197083966.63
    6342.25          197098261.81
    6342.48          197112557.50
    6342.71          197126853.71
    6342.94          197141150.43
    6343.17          197155447.68
    6343.40          197169745.44
    6343.63          197184043.73
    6343.86          197198342.53
    6344.09          197212641.85
    6344.32          197226941.69
    6344.55          197241242.04
    6344.78          197255542.92
    6345.01          197269844.31
    6345.24          197284146.22
    6345.47          197298448.65
    6345.70          197312751.60
    6345.93          197327055.07
    6346.16          197341359.05
    6346.39          197355663.56
    6346.62          197369968.58
    6346.85          197384274.12
    6347.08          197398580.18
    6347.31          197412886.76
    6347.54          197427193.85
    6347.77          197441501.47
    6348.00          197455809.60
    6348.23          197470118.25
    6348.46          197484427.42
    6348.69          197498737.11
    6348.92          197513047.32
    6349.15          197527358.04
    6349.38          197541669.28
    6349.61          197555981.05
    6349.84          197570293.33
    6350.07          197584606.12
    6350.30          197598919.44
    6350.53          197613233.28
    6350.76          197627547.63
    6350.99          197641862.50
    6351.22          197656177.89
    6351.45          197670493.80
    6351.68          197684810.23
    6351.91          197699127.18
    6352.14          197713444.64
    6352.37          197727762.62
    6352.60          197742081.12
    6352.83          197756400.14
    6353.06          197770719.68
    6353.29          197785039.74
    6353.52          197799360.31
    6353.75          197813681.41
    6353.98          197828003.02
    6354.21          197842325.15
    6354.44          197856647.80
    6354.67          197870970.96
    6354.90          197885294.65
    6355.13          197899618.85
    6355.36          197913943.57
    6355.59          197928268.82
    6355.82          197942594.57
    6356.05          197956920.85
    6356.28          197971247.65
    6356.51          197985574.96
    6356.74          197999902.79
    6356.97          198014231.15
    6357.20          198028560.02
    6357.43          198042889.40
    6357.66          198057219.31
    6357.89          198071549.74
    6358.12          198085880.68
    6358.35          198100212.14
    6358.58          198114544.12
    6358.81          198128876.62
    6359.04          198143209.64
    6359.27          198157543.17
    6359.50          198171877.22
    6359.73          198186211.80
    6359.96          198200546.89
    6360.19          198214882.50
    6360.42          198229218.62
    6360.65          198243555.27
    6360.88          198257892.43
    6361.11          198272230.12
    6361.34          198286568.32
    6361.57          198300907.04
    6361.80          198315246.28
    6362.03          198329586.03
    6362.26          198343926.31
    6362.49          198358267.10
    6362.72          198372608.41
    6362.95          198386950.24
    6363.18          198401292.59
    6363.41          198415635.46
    6363.64          198429978.84
    6363.87          198444322.75
    6364.10          198458667.17
    6364.33          198473012.11
    6364.56          198487357.57
    6364.79          198501703.55
    6365.02          198516050.04
    6365.25          198530397.06
    6365.48          198544744.59
    6365.71          198559092.64
    6365.94          198573441.21
    6366.17          198587790.30
    6366.40          198602139.90
    6366.63          198616490.03
    6366.86          198630840.67
    6367.09          198645191.83
    6367.32          198659543.51
    6367.55          198673895.71
    6367.78          198688248.43
    6368.01          198702601.66
    6368.24          198716955.42
    6368.47          198731309.69
    6368.70          198745664.48
    6368.93          198760019.79
    6369.16          198774375.62
    6369.39          198788731.96
    6369.62          198803088.83
    6369.85          198817446.21
    6370.08          198831804.11
    6370.31          198846162.53
    6370.54          198860521.47
    6370.77          198874880.92
    6371.00          198889240.90
    6371.23          198903601.39
    6371.46          198917962.40
    6371.69          198932323.93
    6371.92          198946685.98
    6372.15          198961048.55
    6372.38          198975411.64
    6372.61          198989775.24
    6372.84          199004139.36
    6373.07          199018504.00
    6373.30          199032869.16
    6373.53          199047234.84
    6373.76          199061601.03
    6373.99          199075967.75
    6374.22          199090334.98
    6374.45          199104702.73
    6374.68          199119071.00
    6374.91          199133439.79
    6375.14          199147809.10
    6375.37          199162178.92
    6375.60          199176549.26
    6375.83          199190920.13
    6376.06          199205291.51
    6376.29          199219663.40
    6376.52          199234035.82
    6376.75          199248408.76
    6376.98          199262782.21
    6377.21          199277156.18
    6377.44          199291530.67
    6377.67          199305905.68
    6377.90          199320281.21
    6378.13          199334657.25
    6378.36          199349033.82
    6378.59          199363410.90
    6378.82          199377788.50
    6379.05          199392166.62
    6379.28          199406545.26
    6379.51          199420924.42
    6379.74          199435304.09
    6379.97          199449684.28
    6380.20          199464065.00
    6380.43          199478446.23
    6380.66          199492827.97
    6380.89          199507210.24
    6381.12          199521593.03
    6381.35          199535976.33
    6381.58          199550360.15
    6381.81          199564744.49
    6382.04          199579129.35
    6382.27          199593514.73
    6382.50          199607900.62
    6382.73          199622287.04
    6382.96          199636673.97
    6383.19          199651061.42
    6383.42          199665449.39
    6383.65          199679837.88
    6383.88          199694226.89
    6384.11          199708616.41
    6384.34          199723006.45
    6384.57          199737397.02
    6384.80          199751788.10
    6385.03          199766179.69
    6385.26          199780571.81
    6385.49          199794964.45
    6385.72          199809357.60
    6385.95          199823751.27
    6386.18          199838145.46
    6386.41          199852540.17
    6386.64          199866935.40
    6386.87          199881331.14
    6387.10          199895727.41
    6387.33          199910124.19
    6387.56          199924521.49
    6387.79          199938919.31
    6388.02          199953317.65
    6388.25          199967716.51
    6388.48          199982115.88
    6388.71          199996515.77
    6388.94          200010916.19
    6389.17          200025317.12
    6389.40          200039718.56
    6389.63          200054120.53
    6389.86          200068523.02
    6390.09          200082926.02
    6390.32          200097329.54
    6390.55          200111733.58
    6390.78          200126138.14
    6391.01          200140543.22
    6391.24          200154948.81
    6391.47          200169354.93
    6391.70          200183761.56
    6391.93          200198168.71
    6392.16          200212576.38
    6392.39          200226984.57
    6392.62          200241393.28
    6392.85          200255802.50
    6393.08          200270212.24
    6393.31          200284622.50
    6393.54          200299033.28
    6393.77          200313444.58
    6394.00          200327856.40
    6394.23          200342268.73
    6394.46          200356681.59
    6394.69          200371094.96
    6394.92          200385508.85
    6395.15          200399923.26
    6395.38          200414338.19
    6395.61          200428753.63
    6395.84          200443169.60
    6396.07          200457586.08
    6396.30          200472003.08
    6396.53          200486420.60
    6396.76          200500838.64
    6396.99          200515257.19
    6397.22          200529676.27
    6397.45          200544095.86
    6397.68          200558515.97
    6397.91          200572936.60
    6398.14          200587357.75
    6398.37          200601779.42
    6398.60          200616201.60
    6398.83          200630624.31
    6399.06          200645047.53
    6399.29          200659471.27
    6399.52          200673895.53
    6399.75          200688320.31
    6399.98          200702745.60
    6400.21          200717171.42
    6400.44          200731597.75
    6400.67          200746024.60
    6400.90          200760451.97
    6401.13          200774879.86
    6401.36          200789308.26
    6401.59          200803737.19
    6401.82          200818166.63
    6402.05          200832596.59
    6402.28          200847027.07
    6402.51          200861458.07
    6402.74          200875889.59
    6402.97          200890321.62
    6403.20          200904754.18
    6403.43          200919187.25
    6403.66          200933620.84
    6403.89          200948054.95
    6404.12          200962489.57
    6404.35          200976924.72
    6404.58          200991360.38
    6404.81          201005796.57
    6405.04          201020233.27
    6405.27          201034670.49
    6405.50          201049108.22
    6405.73          201063546.48
    6405.96          201077985.26
    6406.19          201092424.55
    6406.42          201106864.36
    6406.65          201121304.69
    6406.88          201135745.54
    6407.11          201150186.91
    6407.34          201164628.79
    6407.57          201179071.19
    6407.80          201193514.12
    6408.03          201207957.56
    6408.26          201222401.51
    6408.49          201236845.99
    6408.72          201251290.99
    6408.95          201265736.50
    6409.18          201280182.53
    6409.41          201294629.09
    6409.64          201309076.15
    6409.87          201323523.74
    6410.10          201337971.85
    6410.33          201352420.47
    6410.56          201366869.62
    6410.79          201381319.28
    6411.02          201395769.46
    6411.25          201410220.16
    6411.48          201424671.37
    6411.71          201439123.11
    6411.94          201453575.36
    6412.17          201468028.13
    6412.40          201482481.42
    6412.63          201496935.23
    6412.86          201511389.56
    6413.09          201525844.41
    6413.32          201540299.77
    6413.55          201554755.65
    6413.78          201569212.05
    6414.01          201583668.97
    6414.24          201598126.41
    6414.47          201612584.37
    6414.70          201627042.84
    6414.93          201641501.83
    6415.16          201655961.35
    6415.39          201670421.38
    6415.62          201684881.92
    6415.85          201699342.99
    6416.08          201713804.58
    6416.31          201728266.68
    6416.54          201742729.30
    6416.77          201757192.44
    6417.00          201771656.10
    6417.23          201786120.28
    6417.46          201800584.97
    6417.69          201815050.19
    6417.92          201829515.92
    6418.15          201843982.17
    6418.38          201858448.94
    6418.61          201872916.23
    6418.84          201887384.03
    6419.07          201901852.36
    6419.30          201916321.20
    6419.53          201930790.56
    6419.76          201945260.44
    6419.99          201959730.84
    6420.22          201974201.76
    6420.45          201988673.19
    6420.68          202003145.15
    6420.91          202017617.62
    6421.14          202032090.61
    6421.37          202046564.12
    6421.60          202061038.14
    6421.83          202075512.69
    6422.06          202089987.75
    6422.29          202104463.34
    6422.52          202118939.44
    6422.75          202133416.06
    6422.98          202147893.19
    6423.21          202162370.85
    6423.44          202176849.02
    6423.67          202191327.72
    6423.90          202205806.93
    6424.13          202220286.66
    6424.36          202234766.91
    6424.59          202249247.67
    6424.82          202263728.96
    6425.05          202278210.76
    6425.28          202292693.08
    6425.51          202307175.92
    6425.74          202321659.28
    6425.97          202336143.16
    6426.20          202350627.56
    6426.43          202365112.47
    6426.66          202379597.90
    6426.89          202394083.85
    6427.12          202408570.32
    6427.35          202423057.31
    6427.58          202437544.82
    6427.81          202452032.84
    6428.04          202466521.38
    6428.27          202481010.44
    6428.50          202495500.02
    6428.73          202509990.12
    6428.96          202524480.74
    6429.19          202538971.87
    6429.42          202553463.53
    6429.65          202567955.70
    6429.88          202582448.39
    6430.11          202596941.60
    6430.34          202611435.33
    6430.57          202625929.57
    6430.80          202640424.34
    6431.03          202654919.62
    6431.26          202669415.42
    6431.49          202683911.74
    6431.72          202698408.58
    6431.95          202712905.93
    6432.18          202727403.81
    6432.41          202741902.20
    6432.64          202756401.11
    6432.87          202770900.54
    6433.10          202785400.49
    6433.33          202799900.96
    6433.56          202814401.94
    6433.79          202828903.44
    6434.02          202843405.47
    6434.25          202857908.01
    6434.48          202872411.06
    6434.71          202886914.64
    6434.94          202901418.74
    6435.17          202915923.35
    6435.40          202930428.48
    6435.63          202944934.13
    6435.86          202959440.30
    6436.09          202973946.99
    6436.32          202988454.20
    6436.55          203002961.92
    6436.78          203017470.16
    6437.01          203031978.93
    6437.24          203046488.21
    6437.47          203060998.00
    6437.70          203075508.32
    6437.93          203090019.16
    6438.16          203104530.51
    6438.39          203119042.38
    6438.62          203133554.77
    6438.85          203148067.68
    6439.08          203162581.11
    6439.31          203177095.05
    6439.54          203191609.52
    6439.77          203206124.50
    6440.00          203220640.00
    6440.23          203235156.02
    6440.46          203249672.56
    6440.69          203264189.61
    6440.92          203278707.19
    6441.15          203293225.28
    6441.38          203307743.89
    6441.61          203322263.02
    6441.84          203336782.67
    6442.07          203351302.84
    6442.30          203365823.52
    6442.53          203380344.72
    6442.76          203394866.45
    6442.99          203409388.69
    6443.22          203423911.44
    6443.45          203438434.72
    6443.68          203452958.52
    6443.91          203467482.83
    6444.14          203482007.66
    6444.37          203496533.01
    6444.60          203511058.88
    6444.83          203525585.27
    6445.06          203540112.18
    6445.29          203554639.60
    6445.52          203569167.54
    6445.75          203583696.01
    6445.98          203598224.99
    6446.21          203612754.48
    6446.44          203627284.50
    6446.67          203641815.04
    6446.90          203656346.09
    6447.13          203670877.66
    6447.36          203685409.75
    6447.59          203699942.36
    6447.82          203714475.49
    6448.05          203729009.13
    6448.28          203743543.30
    6448.51          203758077.98
    6448.74          203772613.18
